name,description,character,raw_html,role,count
Vigil,"You look over your friends even in dire situations.
You and your Allies within 8 metres of range recover from Exhaustion , Haemorrhage , Mangled , Hindered  and Blindness  Status Effects 10/15/20 % faster.
Once out of range, this effect persists for 15 seconds.
""I'm gonna be here when you wake up. You're gonna make it."" — Quentin Smith",Quentin,"<p>You look over your friends even in dire situations.
</p><p>You and your Allies within <b><span style=""color: #e8c252;"">8 metres</span></b> of range recover from <i><b><a href=""/Exhaustion"" title=""Exhaustion"">Exhaustion</a> <a href=""/Exhaustion"" title=""Exhaustion""><img alt=""IconStatusEffects exhausted.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/ef/IconStatusEffects_exhausted.png/32px-IconStatusEffects_exhausted.png?version=4875b3d1f0c5d127a1d808a66c03a2d4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/ef/IconStatusEffects_exhausted.png/48px-IconStatusEffects_exhausted.png?version=4875b3d1f0c5d127a1d808a66c03a2d4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/ef/IconStatusEffects_exhausted.png/64px-IconStatusEffects_exhausted.png?version=4875b3d1f0c5d127a1d808a66c03a2d4 2x""></a>, <a href=""/Haemorrhage"" class=""mw-redirect"" title=""Haemorrhage"">Haemorrhage</a> <a href=""/Haemorrhage"" title=""Haemorrhage""><img alt=""IconStatusEffects bleeding.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/2/24/IconStatusEffects_bleeding.png/32px-IconStatusEffects_bleeding.png?version=c3465d2643443cd16a0a439056295772"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/2/24/IconStatusEffects_bleeding.png/48px-IconStatusEffects_bleeding.png?version=c3465d2643443cd16a0a439056295772 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/2/24/IconStatusEffects_bleeding.png/64px-IconStatusEffects_bleeding.png?version=c3465d2643443cd16a0a439056295772 2x""></a>, <a href=""/Mangled"" class=""mw-redirect"" title=""Mangled"">Mangled</a> <a href=""/Mangled"" title=""Mangled""><img alt=""IconStatusEffects mangled.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/7/7f/IconStatusEffects_mangled.png/32px-IconStatusEffects_mangled.png?version=d99591218b085e36f8176c9c91b5ae0a"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/7/7f/IconStatusEffects_mangled.png/48px-IconStatusEffects_mangled.png?version=d99591218b085e36f8176c9c91b5ae0a 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/7/7f/IconStatusEffects_mangled.png/64px-IconStatusEffects_mangled.png?version=d99591218b085e36f8176c9c91b5ae0a 2x""></a>, <a href=""/Hindered"" class=""mw-redirect"" title=""Hindered"">Hindered</a> <a href=""/Hindered"" title=""Hindered""><img alt=""IconStatusEffects hindered.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/3/37/IconStatusEffects_hindered.png/32px-IconStatusEffects_hindered.png?version=9ad4437fdfca88290ee0969022be7f64"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/3/37/IconStatusEffects_hindered.png/48px-IconStatusEffects_hindered.png?version=9ad4437fdfca88290ee0969022be7f64 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/3/37/IconStatusEffects_hindered.png/64px-IconStatusEffects_hindered.png?version=9ad4437fdfca88290ee0969022be7f64 2x""></a> and <a href=""/Blindness"" class=""mw-redirect"" title=""Blindness"">Blindness</a> <a href=""/Blindness"" title=""Blindness""><img alt=""IconStatusEffects vision.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/a/a9/IconStatusEffects_vision.png/32px-IconStatusEffects_vision.png?version=cf9827d22f9b9fa072b7174976ac3fcd"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/a/a9/IconStatusEffects_vision.png/48px-IconStatusEffects_vision.png?version=cf9827d22f9b9fa072b7174976ac3fcd 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/a/a9/IconStatusEffects_vision.png/64px-IconStatusEffects_vision.png?version=cf9827d22f9b9fa072b7174976ac3fcd 2x""></a></b></i> <b>Status Effects</b> <span style=""color: #e8c252;""><b>10</b></span>/<span style=""color: #199b1e;""><b>15</b></span>/<span style=""color: #ac3ee3;""><b>20</b></span>&nbsp;% faster.
</p><p>Once out of range, this effect persists for <b><span style=""color: #d41c1c;"">15 seconds</span></b>.
</p><p><i><span style=""color: #e3d1b6;"">""I'm gonna be here when you wake up. You're gonna make it."" — Quentin Smith</span></i>
</p>",survivor,70
Wake Up!,"Unlocks potential in one's Aura-reading ability.
Once all Generators  are powered, Exit Gates  are revealed to you when within a range of 128 metres.
While opening the Exit Gates, reveal your Aura  to other Survivors within a range of 128 metres.
While Wake Up! is active, you open the Exit Gates 5/10/15 % faster.
""Ok, look. If we survive the next 24 hours, then I'll take you out on a real date."" — Quentin Smith",Quentin,"<p>Unlocks potential in one's Aura-reading ability.
</p><p>Once all <a href=""/Generators"" title=""Generators"">Generators</a> <a href=""/Generators"" title=""Generators""><img alt=""IconHelpLoading generators.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/c/c4/IconHelpLoading_generators.png/32px-IconHelpLoading_generators.png?version=2cb17e41664dcdd121ae182892bb6492"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/c/c4/IconHelpLoading_generators.png/48px-IconHelpLoading_generators.png?version=2cb17e41664dcdd121ae182892bb6492 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/c/c4/IconHelpLoading_generators.png/64px-IconHelpLoading_generators.png?version=2cb17e41664dcdd121ae182892bb6492 2x""></a> are powered, <a href=""/Exit_Gates"" title=""Exit Gates"">Exit Gates</a> <a href=""/Exit_Gates"" title=""Exit Gates""><img alt=""IconHelp exitGates.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/f/f0/IconHelp_exitGates.png/32px-IconHelp_exitGates.png?version=125be66902699c5c3f5bb1e7b62ea07f"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/f/f0/IconHelp_exitGates.png/48px-IconHelp_exitGates.png?version=125be66902699c5c3f5bb1e7b62ea07f 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/f/f0/IconHelp_exitGates.png/64px-IconHelp_exitGates.png?version=125be66902699c5c3f5bb1e7b62ea07f 2x""></a> are revealed to you when within a range of <b><span style=""color: #e8c252;"">128 metres</span></b>.
</p><p>While opening the Exit Gates, reveal your <a href=""/Aura"" class=""mw-redirect"" title=""Aura"">Aura</a> <a href=""/Aura"" title=""Aura""><img alt=""IconHelp auras.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/32px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/48px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/64px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 2x""></a> to other Survivors within a range of <b><span style=""color: #ff8800;"">128 metres</span></b>.
</p><p>While <i>Wake Up!</i> is active, you open the Exit Gates <span style=""color: #ab713c;""><b>5</b></span>/<span style=""color: #e8c252;""><b>10</b></span>/<span style=""color: #199b1e;""><b>15</b></span>&nbsp;% faster.
</p><p><i><span style=""color: #e3d1b6;"">""Ok, look. If we survive the next 24 hours, then I'll take you out on a real date."" — Quentin Smith</span></i>
</p>",survivor,71
We'll Make It,"Helping others heightens your morale.
For each Survivor you rescue from a Hook, gain an additional 100 % speed increase to healing up others for 30/60/90 seconds.
Cumulative Healing Speed bonuses cannot exceed 100 %.
""I'm confident we can all escape in one piece if we help each other.""",All,"<p>Helping others heightens your morale.
</p><p>For each Survivor you rescue from a Hook, gain an additional <b><span style=""color: #e8c252;"">100&nbsp;%</span></b> speed increase to healing up others for <span style=""color: #e8c252;""><b>30</b></span>/<span style=""color: #199b1e;""><b>60</b></span>/<span style=""color: #ac3ee3;""><b>90</b></span>&nbsp;seconds.
</p><p>Cumulative Healing Speed bonuses cannot exceed <b><span style=""color: #d41c1c;"">100&nbsp;%</span></b>.
</p><p><i><span style=""color: #e3d1b6;"">""I'm confident we can all escape in one piece if we help each other.""</span></i>
</p>",survivor,72
We're Gonna Live Forever,"Your few friends deserve the best protection.
Each time you perform a Safe Hook Rescue or take a hit to protect a Survivor, gain a 25 % stack-able bonus to all Bloodpoint gains up to a maximum of 50/75/100 %.
The bonus Bloodpoints are only awarded post-Trial.
""Come on then, let's 'ave it! I don't give a shit pal."" — David King",David,"<p>Your few friends deserve the best protection.
</p><p>Each time you perform a Safe Hook Rescue or take a hit to protect a Survivor, gain a <b><span style=""color: #e8c252;"">25&nbsp;%</span></b> stack-able bonus to all Bloodpoint gains up to a maximum of <span style=""color: #ab713c;""><b>50</b></span>/<span style=""color: #e8c252;""><b>75</b></span>/<span style=""color: #199b1e;""><b>100</b></span>&nbsp;%.
</p><p><i>The bonus Bloodpoints are only awarded post-Trial.</i>
</p><p><i><span style=""color: #e3d1b6;"">""Come on then, let's 'ave it! I don't give a shit pal."" — David King</span></i>
</p>",survivor,73
Windows of Opportunity,"Unlocks potential in one's Aura-reading ability.
Auras of Pallets  and vaults are revealed to you when within a range of 20 metres.
Windows of Opportunity has a cool-down of 30/25/20 seconds when vaulting or dropping a Pallet during a Chase.
""Rise and shine, work hard, carve out your name,
Take aim, pull the trigger, hit the bulls eye for fame,
Know the value of faith, an' family, and don't you complain,
Open wide, your windows of opportunity""
— Kate Denson's ""Windows of Opportunity""",Kate,"<p>Unlocks potential in one's Aura-reading ability.
</p><p>Auras of <a href=""/Pallets"" title=""Pallets"">Pallets</a> <a href=""/Pallets"" title=""Pallets""><img alt=""IconHelp pullDown.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/d/d8/IconHelp_pullDown.png/32px-IconHelp_pullDown.png?version=26905dc821760d76ab13871a64dd263e"" decoding=""async"" width=""32"" height=""25"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/d/d8/IconHelp_pullDown.png/48px-IconHelp_pullDown.png?version=26905dc821760d76ab13871a64dd263e 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/d/d8/IconHelp_pullDown.png/64px-IconHelp_pullDown.png?version=26905dc821760d76ab13871a64dd263e 2x""></a> and vaults are revealed to you when within a range of <b><span style=""color: #e8c252;"">20 metres</span></b>.
</p><p><i>Windows of Opportunity</i> has a cool-down of <span style=""color: #ab713c;""><b>30</b></span>/<span style=""color: #e8c252;""><b>25</b></span>/<span style=""color: #199b1e;""><b>20</b></span>&nbsp;seconds when vaulting or dropping a Pallet during a Chase.
</p><p><i><span style=""color: #e3d1b6;"">""Rise and shine, work hard, carve out your name,<br>Take aim, pull the trigger, hit the bulls eye for fame,<br>Know the value of faith, an' family, and don't you complain,<br>Open wide, your windows of opportunity""<br>— Kate Denson's ""Windows of Opportunity""</span></i>
</p>",survivor,74
A Nurse's Calling,"Unlocks potential in one's Aura-reading ability.
The Auras  of Survivors who are healing or being healed are revealed to you when they are within a range of 20/24/28 metres.
""Still attached to the fragments of her past life, she is drawn to those in need of help.""",Nurse,"<p>Unlocks potential in one's Aura-reading ability.
</p><p>The <a href=""/Auras"" title=""Auras"">Auras</a> <a href=""/Auras"" title=""Auras""><img alt=""IconHelp auras.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/32px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/48px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/64px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 2x""></a> of Survivors who are healing or being healed are revealed to you when they are within a range of <span style=""color: #199b1e;""><b>20</b></span>/<span style=""color: #ac3ee3;""><b>24</b></span>/<span style=""color: #ff0955;""><b>28</b></span>&nbsp;metres.
</p><p><i><span style=""color: #e3d1b6;"">""Still attached to the fragments of her past life, she is drawn to those in need of help.""</span></i>
</p>",killer,75
Agitation,"You get excited in anticipation of hooking your prey.
Increases your Movement speed while transporting bodies by 6/12/18 %.
While transporting a body, your Terror Radius is increased by 12 metres.
""At some point, the excitement of hooking one of us becomes more important than the desire to kill us.""",Trapper,"<p>You get excited in anticipation of hooking your prey.
</p><p>Increases your Movement speed while transporting bodies by <span style=""color: #199b1e;""><b>6</b></span>/<span style=""color: #ac3ee3;""><b>12</b></span>/<span style=""color: #ff0955;""><b>18</b></span>&nbsp;%.
</p><p>While transporting a body, your <a href=""/Terror_Radius"" class=""mw-redirect"" title=""Terror Radius"">Terror Radius</a> is increased by <b><span style=""color: #ff8800;"">12 metres</span></b>.
</p><p><i><span style=""color: #e3d1b6;"">""At some point, the excitement of hooking one of us becomes more important than the desire to kill us.""</span></i>
</p>",killer,76
Bamboozle,"Your vault speed is 5/10/15 % faster.
Performing a vault action calls upon The Entity  to block that vault location for 8/12/16 seconds.
Only one vault location may be blocked in this way at any given time. The vault location is blocked only for Survivors.
Bamboozle does not affect Pallets .",Clown,"<p>Your vault speed is <span style=""color: #ab713c;""><b>5</b></span>/<span style=""color: #e8c252;""><b>10</b></span>/<span style=""color: #199b1e;""><b>15</b></span>&nbsp;% faster.
</p><p>Performing a vault action calls upon The <a href=""/Entity"" class=""mw-redirect"" title=""Entity"">Entity</a> <a href=""/Entity"" title=""Entity""><img alt=""IconHelp entity.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/a/a9/IconHelp_entity.png/32px-IconHelp_entity.png?version=56576b49901db86acda0a5b292943be2"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/a/a9/IconHelp_entity.png/48px-IconHelp_entity.png?version=56576b49901db86acda0a5b292943be2 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/a/a9/IconHelp_entity.png/64px-IconHelp_entity.png?version=56576b49901db86acda0a5b292943be2 2x""></a> to block that vault location for <span style=""color: #ab713c;""><b>8</b></span>/<span style=""color: #e8c252;""><b>12</b></span>/<span style=""color: #199b1e;""><b>16</b></span>&nbsp;seconds.
</p><p>Only one vault location may be blocked in this way at any given time. The vault location is blocked only for Survivors.
</p><p><i>Bamboozle</i> does not affect <a href=""/Pallets"" title=""Pallets"">Pallets</a> <a href=""/Pallets"" title=""Pallets""><img alt=""IconHelp pullDown.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/d/d8/IconHelp_pullDown.png/32px-IconHelp_pullDown.png?version=26905dc821760d76ab13871a64dd263e"" decoding=""async"" width=""32"" height=""25"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/d/d8/IconHelp_pullDown.png/48px-IconHelp_pullDown.png?version=26905dc821760d76ab13871a64dd263e 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/d/d8/IconHelp_pullDown.png/64px-IconHelp_pullDown.png?version=26905dc821760d76ab13871a64dd263e 2x""></a>.
</p>",killer,77
Barbecue & Chilli,"A deep bond with The Entity  unlocks potential in one's Aura-reading ability.
After hooking a Survivor, all other Survivors' Auras  are revealed to you for 4 seconds when they are farther than 40 metres from the Hook .

Each time a Survivor is hooked for the first time, gain a 25 % stack-able bonus to all Bloodpoint gains up to a maximum of 50/75/100 %.
The bonus Bloodpoints are only awarded post-Trial.
""I just can't take no pleasure in killing. There's just some things you gotta do. Don't mean you have to like it."" — Drayton Sawyer",Cannibal,"<p>A deep bond with The <a href=""/Entity"" class=""mw-redirect"" title=""Entity"">Entity</a> <a href=""/Entity"" title=""Entity""><img alt=""IconHelp entity.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/a/a9/IconHelp_entity.png/32px-IconHelp_entity.png?version=56576b49901db86acda0a5b292943be2"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/a/a9/IconHelp_entity.png/48px-IconHelp_entity.png?version=56576b49901db86acda0a5b292943be2 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/a/a9/IconHelp_entity.png/64px-IconHelp_entity.png?version=56576b49901db86acda0a5b292943be2 2x""></a> unlocks potential in one's Aura-reading ability.
</p><p>After hooking a Survivor, all other Survivors' <a href=""/Auras"" title=""Auras"">Auras</a> <a href=""/Auras"" title=""Auras""><img alt=""IconHelp auras.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/32px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/48px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/64px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 2x""></a> are revealed to you for <b><span style=""color: #e8c252;"">4 seconds</span></b> when they are farther than <b><span style=""color: #ff8800;"">40 metres</span></b> from the <a href=""/Hook"" class=""mw-redirect"" title=""Hook"">Hook</a> <a href=""/Hook"" title=""Hook""><img alt=""IconHelpLoading hook.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/4/4f/IconHelpLoading_hook.png/32px-IconHelpLoading_hook.png?version=d05db622b935e6875d875c4f25de48d2"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/4/4f/IconHelpLoading_hook.png/48px-IconHelpLoading_hook.png?version=d05db622b935e6875d875c4f25de48d2 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/4/4f/IconHelpLoading_hook.png/64px-IconHelpLoading_hook.png?version=d05db622b935e6875d875c4f25de48d2 2x""></a>.
</p>
<ul><li>Each time a Survivor is hooked for the first time, gain a <b><span style=""color: #d41c1c;"">25&nbsp;%</span></b> stack-able bonus to all Bloodpoint gains up to a maximum of <span style=""color: #e8c252;""><b>50</b></span>/<span style=""color: #199b1e;""><b>75</b></span>/<span style=""color: #ac3ee3;""><b>100</b></span>&nbsp;%.</li></ul>
<p><i>The bonus Bloodpoints are only awarded post-Trial.</i>
</p><p><i><span style=""color: #e3d1b6;"">""I just can't take no pleasure in killing. There's just some things you gotta do. Don't mean you have to like it."" — Drayton Sawyer</span></i>
</p>",killer,78
Beast of Prey,"Your lust for a kill is so intense that your connection with The Entity  is momentarily lost, making you totally unpredictable.
The Red Stain disappears after gaining Bloodlust Tier I and stays hidden until you lose Bloodlust .
Gain 30/40/50 % more Bloodpoints  for actions in the Hunter Category.
""Where did she go?""",Huntress,"<p>Your lust for a kill is so intense that your connection with The <a href=""/Entity"" class=""mw-redirect"" title=""Entity"">Entity</a> <a href=""/Entity"" title=""Entity""><img alt=""IconHelp entity.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/a/a9/IconHelp_entity.png/32px-IconHelp_entity.png?version=56576b49901db86acda0a5b292943be2"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/a/a9/IconHelp_entity.png/48px-IconHelp_entity.png?version=56576b49901db86acda0a5b292943be2 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/a/a9/IconHelp_entity.png/64px-IconHelp_entity.png?version=56576b49901db86acda0a5b292943be2 2x""></a> is momentarily lost, making you totally unpredictable.
</p><p>The <a href=""/Red_Stain"" class=""mw-redirect"" title=""Red Stain"">Red Stain</a> disappears after gaining <b>Bloodlust Tier I</b> and stays hidden until you lose <i><b><a href=""/Bloodlust"" title=""Bloodlust"">Bloodlust</a> <a href=""/Bloodlust"" title=""Bloodlust""><img alt=""IconHelp bloodlust.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/e8/IconHelp_bloodlust.png/32px-IconHelp_bloodlust.png?version=369cd2a88c4af3271012635c8cec149b"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/e8/IconHelp_bloodlust.png/48px-IconHelp_bloodlust.png?version=369cd2a88c4af3271012635c8cec149b 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/e8/IconHelp_bloodlust.png/64px-IconHelp_bloodlust.png?version=369cd2a88c4af3271012635c8cec149b 2x""></a></b></i>.
</p><p>Gain <span style=""color: #ab713c;""><b>30</b></span>/<span style=""color: #e8c252;""><b>40</b></span>/<span style=""color: #199b1e;""><b>50</b></span>&nbsp;% more <a href=""/Bloodpoints"" title=""Bloodpoints"">Bloodpoints</a> <a href=""/Bloodpoints"" title=""Bloodpoints""><img alt=""IconHelp bloodpoints.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/f/f7/IconHelp_bloodpoints.png/32px-IconHelp_bloodpoints.png?version=5b5975cbad5a11fa80320c86bde34641"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/f/f7/IconHelp_bloodpoints.png/48px-IconHelp_bloodpoints.png?version=5b5975cbad5a11fa80320c86bde34641 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/f/f7/IconHelp_bloodpoints.png/64px-IconHelp_bloodpoints.png?version=5b5975cbad5a11fa80320c86bde34641 2x""></a> for actions in the <i><b><a href=""/Hunter"" class=""mw-redirect"" title=""Hunter"">Hunter</a></b></i> Category.
</p><p><i><span style=""color: #e3d1b6;"">""Where did she go?""</span></i>
</p>",killer,79
Bitter Murmur,"Unlocks potential in one's Aura-reading ability.
Each time a Generator  is fully repaired, Survivors within 16 metres of the completed Generator will be revealed for 5 seconds.
When the last Generator is fully repaired, all the Survivors' Auras  are revealed for 5/7/10 seconds.",All,"<p>Unlocks potential in one's Aura-reading ability.
</p><p>Each time a <a href=""/Generator"" class=""mw-redirect"" title=""Generator"">Generator</a> <a href=""/Generator"" title=""Generator""><img alt=""IconHelpLoading generators.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/c/c4/IconHelpLoading_generators.png/32px-IconHelpLoading_generators.png?version=2cb17e41664dcdd121ae182892bb6492"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/c/c4/IconHelpLoading_generators.png/48px-IconHelpLoading_generators.png?version=2cb17e41664dcdd121ae182892bb6492 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/c/c4/IconHelpLoading_generators.png/64px-IconHelpLoading_generators.png?version=2cb17e41664dcdd121ae182892bb6492 2x""></a> is fully repaired, Survivors within <b><span style=""color: #e8c252;"">16 metres</span></b> of the completed Generator will be revealed for <b><span style=""color: #ff8800;"">5 seconds</span></b>.
</p><p>When the last Generator is fully repaired, all the Survivors' <a href=""/Auras"" title=""Auras"">Auras</a> <a href=""/Auras"" title=""Auras""><img alt=""IconHelp auras.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/32px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/48px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/64px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 2x""></a> are revealed for <span style=""color: #199b1e;""><b>5</b></span>/<span style=""color: #ac3ee3;""><b>7</b></span>/<span style=""color: #ff0955;""><b>10</b></span>&nbsp;seconds.
</p>",killer,80
